timestamp,temperature,ph,turbidity,tds
2026-09-07T17:53:29.694Z,-68.75,5.5,1095.1,-310.2
2026-09-07T17:53:44.374Z,-68.75,5.48,1092.7,-317.2
2026-09-07T17:53:59.326Z,-68.75,5.46,1094.6,-313.1
2026-09-07T17:54:13.950Z,-68.75,5.49,1092.2,-314
2026-09-07T17:54:28.894Z,-68.75,5.48,1094.6,-313.8
2026-09-07T17:54:43.550Z,-68.75,5.5,1094,-313.4
2026-09-07T17:54:58.246Z,-68.75,5.48,1092.6,-318.8
2026-09-07T17:55:46.558Z,-68.75,5.48,1093.4,-315.5
2026-09-07T17:56:53.150Z,-68.75,5.49,1091.6,-318
2026-09-07T17:57:08.222Z,-68.75,5.48,1093.4,-318.4
2026-09-07T17:57:22.942Z,-68.75,5.47,1094.6,-312.8
2026-09-07T17:57:37.662Z,-68.75,5.48,1093.9,-315.9
2026-09-07T17:57:52.286Z,-68.75,5.5,1094.6,-314.6
2026-09-07T17:58:06.950Z,-68.75,5.49,1092.2,-318.7
2026-09-07T17:58:21.982Z,-68.75,5.49,1094,-316.6
2026-09-07T17:58:36.542Z,-68.75,5.5,1092,-314.8
2026-09-07T17:58:51.326Z,-68.75,5.49,1091.1,-316.6
2026-09-07T17:59:05.918Z,-68.75,5.49,1092.9,-316.3
2026-09-07T17:59:20.446Z,-68.75,5.49,1093.8,-312.5
2026-09-07T17:59:35.390Z,-68.75,5.49,1091.7,-319.1
2026-09-07T17:59:50.046Z,-68.75,5.46,1094.8,-314.8
2026-09-07T18:00:04.770Z,-68.75,5.48,1093,-318.5
2026-09-07T18:00:22.334Z,-68.75,5.47,1093.9,-315.5
2026-09-07T18:00:37.566Z,-68.75,5.46,1094.6,-315.4
2026-09-07T18:00:52.510Z,-68.75,5.45,1094.7,-313.1
2026-09-07T18:02:12.382Z,-68.75,5.5,1092.2,-316.1
2026-09-07T18:03:58.366Z,-68.75,5.46,1094.8,-318.7
2026-09-07T18:04:14.622Z,-68.75,5.47,1094.4,-314
2026-09-07T18:04:29.246Z,-68.75,5.44,1094.8,-314.3
2026-09-07T18:04:43.902Z,-68.75,5.47,1094.6,-317.3
2026-09-07T18:04:58.526Z,-68.75,5.45,1094.4,-319.6
2026-09-07T18:05:13.134Z,-68.75,5.49,1093.6,-319.1
2026-09-07T18:05:38.958Z,-68.75,5.47,1092.6,-320.3
2026-09-07T18:05:53.598Z,-68.75,5.46,1092.8,-318.4
2026-09-07T18:06:08.254Z,-68.75,5.5,1091.2,-318.1
2026-09-07T18:06:22.782Z,-68.75,5.49,1093.2,-319.8
2026-09-07T18:06:37.694Z,-68.75,5.49,1094.8,-315.5
2026-09-07T18:06:52.862Z,-68.75,5.49,1094.2,-313.2
2026-09-07T18:07:18.494Z,-68.75,5.48,1094,-318.3
2026-09-07T18:07:33.094Z,-68.75,5.51,1091,-317.5
2026-09-07T18:07:48.678Z,-68.75,5.5,1092,-315.7
2026-09-07T18:09:56.894Z,-68.75,5.51,1090.7,-316.6
2026-09-07T18:10:13.918Z,-68.75,5.49,1094.2,-314.2
2026-09-07T18:10:28.574Z,-68.75,5.49,1090.4,-317.8
2026-09-07T18:10:43.198Z,-68.75,5.47,1093,-319.1
2026-09-07T18:10:57.790Z,-68.75,5.49,1090.6,-317.7
2026-09-07T18:11:12.286Z,-68.75,5.47,1094.8,-311.8
2026-09-07T18:11:27.198Z,-68.75,5.51,1091.2,-315.1
2026-09-07T18:11:41.726Z,-68.75,5.48,1093.4,-314.7
2026-09-07T18:11:56.318Z,-68.75,5.5,1093.4,-313.1
2026-09-07T18:12:42.638Z,-68.75,5.51,1094.7,-317.2
2026-09-07T18:12:57.502Z,-68.75,5.49,1093.4,-313.4
2026-09-07T18:13:12.126Z,-68.75,5.49,1093.8,-312.3
2026-09-07T18:13:26.718Z,-68.75,5.49,1094.4,-312.8
2026-09-07T18:13:41.342Z,-68.75,5.5,1092.4,-314.8
2026-09-07T18:13:56.006Z,-68.75,5.49,1093.4,-316
2026-09-07T18:14:31.070Z,-68.75,5.49,1093.8,-317.1
2026-09-07T18:14:45.638Z,-68.75,5.49,1092.4,-317.5
